region	zero poss	overt poss	zero copula	overt copula	gone	habitual be	resultant done	be done	steady	finna	neg concord	single neg	neg auxiliary inversion	ain't	zero 3rd sing pres -s	is/was generalization	double object	wh-question
01001	0.0009633354526713292	0.012157293412712175	0.03389014122497736	0.23037204015182167	0.0029285397761208407	0.0037762749744716106	0.0003660674720151051	0	7.706683621370634e-05	0.003930408646899023	0.006801148295859584	0.11034044274897405	0.0007514016530836368	0.011829759358803923	0.004835943972410072	0.004951544226730632	0.0022734716683043368	0.006435080823844479
01009	0.0009135364608522758	0.013541834596163147	0.022945886399054222	0.2685797194905691	0.0006448492664839593	0.0023644473104411845	0.0002686871943683164	0	0	0.001343435971841582	0.005964855714976625	0.10892578859691547	0.0005911118276102961	0.0070396044924498895	0.004030307915524746	0.005158794131871675	0.001719598043957225	0.006502230103713257
01017	0.0012568176428740811	0.0077069006402655914	0.04351434669196111	0.196846099122599	0.00685321318472848	0.010552525492055964	0.0021579321792743657	0	0.00016599478302110505	0.010481384870761204	0.011429926488024662	0.10531183305667537	0.001517666587621532	0.022053592601375384	0.007374911074223381	0.005406687218401708	0.0032250414986957554	0.008276025610623666
01021	0.0010203135145162787	0.010064001484092385	0.03042389388739449	0.2644930896948335	0.0029681847695019014	0.0038029867359243115	0.000881179853445877	0	4.637788702346721e-05	0.0022725164641498935	0.008069752342083295	0.12011872739078007	0.0006029125313050738	0.013078564140617753	0.004869678137464057	0.004776922363417123	0.0026899174473610983	0.007745107132919024
01033	0.0011967138883498287	0.009864803674235074	0.04054272592017595	0.22300925027492075	0.005126463548741834	0.004916230027815512	0.0016333527395044959	0	0.00012937447441619768	0.00669512905103823	0.01039847338120189	0.11174720227699075	0.0014231192185781745	0.02152467818099489	0.0053366970696681545	0.006177631153373439	0.0035416262371434117	0.00895918235332169
01045	0.0017846920564366772	0.007845910361315957	0.04141832508334175	0.22416405697545205	0.004040812203252854	0.007071421355692494	0.000875509310704785	0	0.00016836717513553557	0.006397952655150352	0.008485705626830993	0.10768764521668855	0.0010438764858403207	0.019227531400478164	0.005791830824662424	0.005152035559147388	0.002323467016870391	0.007307135400882244
01051	0.0009628345850182939	0.010902250070360988	0.0352989971707476	0.23127286732139418	0.0038513383400731755	0.004458664770623177	0.0009480217452487817	0	0.00011850271815609771	0.00462160600808781	0.008739575464012207	0.1154660860033477	0.0011554015020219526	0.01653112918277563	0.00542149935564147	0.005302996637485373	0.0026663111585121984	0.008043371994845132
01065	0.002005116504183088	0.006499343151490009	0.04750051856461315	0.1812210468090991	0.00885016939777363	0.008366175758832884	0.002419968194703727	0	6.914194842010648e-05	0.010924427850376823	0.013482679941920763	0.10509576159856185	0.0016594067620825555	0.026827075987001313	0.007536472377791606	0.005531355873608518	0.0035262393694254304	0.009057595243033949
01079	0.000726579174424413	0.00999046364833568	0.0320148948730757	0.2397711275600563	0.0037691294673266426	0.005403932609781572	0.0010898687616366196	0	0.00013623359520457745	0.007220380545842605	0.009036828481903637	0.11425457517823895	0.0011352799600381454	0.015394396258117251	0.004268652649743427	0.006312156577812088	0.002951727896099178	0.007356614141047183
01083	0.0009578694471051929	0.011384513920512538	0.03525273620903538	0.23387717287188103	0.003815775010599375	0.004004208344456134	0.0007066250019628472	0	7.851388910698302e-05	0.004648022235133395	0.00846379724573277	0.10671607807421132	0.0009421666692837963	0.014760611152112808	0.0054017555705604325	0.006516652795879591	0.0025752555627090432	0.007191872242199645
